date,headline,newspaper,classification,brexit
1-3-2015,'We must monitor Islamic student societies within British universities' says terror expert,Express,Brexit,Other
2-3-2015,Now EU targets halogen bulbs: Brussels could BAN light used by millions by next year,Express,Brexit,Other
2-3-2015,In bed with Brook: British model Kelly shows off toned body in barely-there jumper dress,Express,Brexit,Other
2-3-2015,Tory MP says Britain would be better off without EU trade deal ,Express,Brexit,Other
2-3-2015,Two out of three British laws were made in Brussels,Express,Brexit,Other
2-3-2015,Fresh search for missing Ben Needham with British police set to return to Greek isle,Express,Brexit,Other
2-3-2015,Guinness team up with Piebury Corner to celebrate British Pie Week 2015,Express,Brexit,Other
3-3-2015,Jihadi fighters are portrayed as 'eye candy' to lure young British Muslim girls to Syria,Express,Brexit,Other
3-3-2015,'Broadchurch is grim and boring' Celia Imrie slams British TV for being too slow,Express,Brexit,Other
3-3-2015,Three British plane spotters held in Dubai accused of breaching 'national security',Express,Brexit,Other
3-3-2015,Horde of EU migrants could NOW be in UK as number of immigrants in Calais camp shrinks,Express,Brexit,Immigration
3-3-2015,Kelly B-ooty: British beauty Brook shows off her pert bottom in skin-tight gym gear,Express,Brexit,Other
3-3-2015,Former British athletics star Kelly Sotherton makes TV appeal over stolen medals,Express,Brexit,Other
4-3-2015,Online retailer the Patriot Store rapped for selling 'best of British clothes' made abroad,Express,Brexit,Other
4-3-2015,Russell Brand claims BRITISH SOCIETY is to blame for Islamic State killer 'Jihadi John',Express,Brexit,Other
4-3-2015,British archaeologist on the hunt for Jesus's childhood home ,Express,Brexit,Other
5-3-2015,EXCLUSIVE: Fears 'pig plague' from EU could DECIMATE Britain's pork industry,Express,Brexit,Other
5-3-2015,"'We need to tackle fears that migrants come for benefits', leading EU member admits",Express,Brexit,Immigration
6-3-2015,British Airways flight returns after declaring mid-air emergency amid 'cabin oxygen' drama,Express,Brexit,Other
6-3-2015,Tackling immigration fears in UK only way Britain will support EU in future says Eurocrat,Express,Brexit,Other
6-3-2015,Mamma Mia: Ukip candidate mocks Cameron and EU in parody of Abba's Chiquitita,Express,Brexit,Other
6-3-2015,Landmarks:Harvesting natural words of the British Isles,Express,Brexit,Other
7-3-2015,Family of missing 'jihadi' schoolgirls: British police have let us down,Express,Brexit,Other
8-3-2015,New flight ban laws to stop British girls leaving UK to become Jihadi brides,Express,Brexit,Other
8-3-2015,EXCLUSIVE: Nigel Farage says he’ll force through EU referendum after Tories win election,Express,Brexit,Other
9-3-2015,Outrage as EU chief calls for EURO ARMY commanded by Brussels to take on Russia and IS,Express,Brexit,Other
9-3-2015,Ex-British soldier fighting Islamic State blasts government over 'shameful' response,Express,Brexit,Other
9-3-2015,British scientists reveal equipment they claim could help humans colonise Mars,Express,Brexit,Other
9-3-2015,"British Army could soon be reduced to smallest size for nearly 250 YEARS, report warns",Express,Brexit,Other
9-3-2015,British energy bills are '£235 too much each year',Express,Brexit,Other
10-3-2015,Outrage after drug dealer hurt in crash could receive MILLIONS thanks to EU ruling,Express,Brexit,Other
10-3-2015,Top chefs blast EU ruling a 'nightmare' over bureaucratic allergy labelling of food,Express,Brexit,Other
10-3-2015,Latest EU ruling is a dangerous precedent that rewards criminals,Express,Brexit,Other
11-3-2015,"Ignore scaremongers, quitting European Union could BOOST British jobs",Express,Brexit,Other
11-3-2015,RAF plane sent to bring back British military worker with Ebola ,Express,Brexit,Other
11-3-2015,'Provocative & unhelpful' Outrage as BRITISH university questions Israel's right to exist,Express,Brexit,Other
11-3-2015,Germany backs plan to allow EU migrants to travel passport free-through Europe,Express,Brexit,Immigration
11-3-2015,Fury as figures reveal EU spent £235million on consultants in just five years,Express,Brexit,Other
12-3-2015,Foreign spy 'arrested in Turkey for helping three British schoolgirls join Islamic State',Express,Brexit,Other
12-3-2015,UPDATE: Two MORE British workers flown home after army medical worker infected with Ebola,Express,Brexit,Other
12-3-2015,Manchester is 'uglier than a fridge'  David De Gea's girlfriend slams British city,Express,Brexit,Other
12-3-2015,Even Nick Clegg disagrees… Deputy PM blasts plans for EU army as 'dangerous fantasy',Express,Brexit,Other
12-3-2015,What a load of rubbish: Outcry at Labour claim an EU exit is boost for Russia and Putin,Express,Brexit,Other
12-3-2015,Simon Cowell praises Prince Charles Trust – it makes him proud to be British,Express,Brexit,Other
13-3-2015,David Cameron hints Tory EU referendum will STILL be two years away,Express,Brexit,Other
14-3-2015,John Prescott 'says Tony Blair's bloody crusades led to radicalisation of British Muslims',Express,Brexit,Other
14-3-2015,'I’ve never heard anything like it' British Airways flight diverted because of SMELLY POO,Express,Brexit,Other
14-3-2015,David Cameron pledges to reform Britain's membership of EU and migrant benefits,Express,Brexit,Immigration
14-3-2015,British drivers pay more fuel tax than rest of EU,Express,Brexit,Other
14-3-2015,British laws must apply to migrant communities,Express,Brexit,Immigration
15-3-2015,Three British boys who travelled to Turkey hoping join Islamic State held in London,Express,Brexit,Other
15-3-2015,Nigel Farage's pact with the Tories: Cameron must give Britain an EU referendum,Express,Brexit,Other
15-3-2015,British army to use the 'oldest equipment in Nato' ,Express,Brexit,Other
15-3-2015,EXCLUSIVE: Deadly asbestos hiding in nine out of 10 British schools ,Express,Brexit,Other
15-3-2015,A touching British drama: X + Y Review and trailer,Express,Brexit,Other
16-3-2015,EXCLUSIVE: British submarine HMS Conqueror that sank Belgrano in new Falklands exhibit,Express,Brexit,Other
16-3-2015,Three Syria-bound British teenagers freed on bail ,Express,Brexit,Other
16-3-2015,British hostage John Cantlie 'water boarded for weeks' after trying to escape IS TWICE,Express,Brexit,Other
16-3-2015,British jihadi bride who joined IS DENIES recruiting three east London schoolgirls,Express,Brexit,Other
16-3-2015,"More young British Muslims are joining IS than we expected, says politician Keith Vaz",Express,Brexit,Other
16-3-2015,Google Doodle mark 216th birthday of British scientist Anna Atkins,Express,Brexit,Other
17-3-2015,British girls in Syria face being passed among Islamic State men at a rate of 'one a week',Express,Brexit,Other
17-3-2015,Vanuatu cyclone horror: British mum's fears for missing daughter,Express,Brexit,Other
17-3-2015,"Dementia drug research aided by $100 million global fund, backed by British government ",Express,Brexit,Other
17-3-2015,Donald Tusk warns David Cameron that EU reform is 'mission impossible' ,Express,Brexit,Other
18-3-2015,British dad who 'killed suspected paedophile' for filming daughter released from jail,Express,Brexit,Other
18-3-2015,EU chief rules outs reforming Lisbon treaty to satisfy British demands,Express,Brexit,Other
18-3-2015,David Cameron opens the door for 2015 EU referendum,Express,Brexit,Other
18-3-2015,SNP leader Nicola Sturgeon to become highest-paid British politician with £145k salary,Express,Brexit,Other
19-3-2015,Lord Coe: British athletes offered huge boost with Aldi sponsorship,Express,Brexit,Other
20-3-2015,Illegal immigrants smuggled OUT of Britain... so they can return after claiming EU asylum,Express,Brexit,Immigration
20-3-2015,Cruise lines 'stop calling at Tunis' after British passenger killed in terrorist attack,Express,Brexit,Other
20-3-2015,Mummy's boy British jihadi who wanted to bomb UK documents 'lonely' life under IS,Express,Brexit,Other
20-3-2015,Cider drinkers fight back against EU plans to hike up prices,Express,Brexit,Other
20-3-2015,British built car rated most reliable - with EIGHT German cars branded as worst clunkers,Express,Brexit,Other
22-3-2015,Farage wants DUP alliance to force a EU referendum,Express,Brexit,Other
22-3-2015,'Brainwashed' British medical students 'travelled to Syria to work in IS hospitals',Express,Brexit,Other
23-3-2015,EXCLUSIVE: How human rights boss sent British friend to rot in US terror jail camp,Express,Brexit,Other
23-3-2015,Bid to halt illegal migrants fails: Damning verdict of EU border controls,Express,Brexit,Immigration
24-3-2015,Global warming 'WEAKENING' UK climate system and may cause COLDER British winters,Express,"Brexit,Climate",Other
24-3-2015,British plane spotters who have spent one month in Dubai jail have 'given up' hope,Express,Brexit,Other
24-3-2015,British beauties Emilia Clarke and Gwendoline Christie stun at Game of Thrones premiere,Express,Brexit,Other
24-3-2015,US aircraft carrier visits Portsmouth and stirs British wave of navy envy,Express,Brexit,Other
25-3-2015,MPs express doubts over BBC 'impartiality' in EU coverage,Express,Brexit,Other
25-3-2015,British No 1 Heather Watson battles into second round of Miami Open,Express,Brexit,Other
26-3-2015,EU popularity fades: Majority of Britons are now Eurosceptic and DO want to limit EU power,Express,Brexit,Other
26-3-2015,British man in need of operation stranded in Spain because NHS say no beds at home,Express,Brexit,Other
26-3-2015,Coroner's warning to tourists after British scuba girl dies abroad due to treatment delay,Express,Brexit,Other
26-3-2015,Top 10 Great British weekend city breaks,Express,Brexit,Other
27-3-2015,Amanda Knox ACQUITTED of the murder of British student Meredith Kercher,Express,Brexit,Other
27-3-2015,British police officer arrested on suspicion of murdering his wife,Express,Brexit,Other
27-3-2015,'Thanks to it I'm alive' British nurse heralds experimental drug that saved her from Ebola,Express,Brexit,Other
27-3-2015,British Museum to open Islamic galleries to PROTECT art from destruction by ISIS,Express,Brexit,Other
27-3-2015,British military experts to teach opposition fighters skills to battle Islamic State,Express,Brexit,Other
27-3-2015,Three British men honoured with Holocaust hero medals for saving starving Jewish girl,Express,Brexit,Other
27-3-2015,9 road traffic laws that British drivers actually WANT ,Express,Brexit,Other
28-3-2015,"Immigrants should visit stately homes to feel more British, claims National Trust chairman",Express,Brexit,Immigration
29-3-2015,Fury as EU hands millions to eco group who want Brussels to SUE Britain,Express,Brexit,Other
29-3-2015,An entertaining British sci-fi adventure: Robot Overlords review and trailer,Express,Brexit,Other
30-3-2015,Former British Olympic diver & wife found SHOT DEAD 'locked in each other's arms' in Spain,Express,Brexit,Other
30-3-2015,Gibraltar stabbing: British man and family found dead in 'murder-suicide' ,Express,Brexit,Other
30-3-2015,Welcome to British Summer: Atlantic storm to sweep across UK bringing wet and windy Easter,Express,Brexit,Other
30-3-2015,Body of British cyclist found floating in sea off French Riviera beauty spot,Express,Brexit,Other
30-3-2015,"Blissfully in love, the last picture of tragic British Germanwings passenger Paul Bramley",Express,Brexit,Other
30-3-2015,March 30: 50 years ago Audrey Hepburn won Best British Film Actress for her Charade role,Express,Brexit,Other
31-3-2015,EXCLUSIVE: Man V. Food's Adam Richman reveals what Americans REALLY think of British food,Express,Brexit,Other
31-3-2015,Fishmonger faces execution for murder of two British medical students in Borneo,Express,Brexit,Other
31-3-2015,More than one in 10 British children have made SEX tapes,Express,Brexit,Other
31-3-2015,New Jaguar XF is a true British gem,Express,Brexit,Other
1-4-2015,School's OUT: EU plot to make British school summer holidays TWELVE WEEKS long,Express,Brexit,Other
1-4-2015,Schools fear Easter holiday exodus to Syria as British teenagers bid to join Islamic State,Express,Brexit,Other
1-4-2015,Is this the most high tech bike ever? Kickstarter funds British e-bike two weeks EARLY,Express,Brexit,Other
1-4-2015,Farmers hail 'landmark' end to hated EU milk quotas,Express,Brexit,Other
1-4-2015,British law student jailed over bomb-making manual ,Express,Brexit,Other
1-4-2015,British passports handed to EIGHT TIMES more Eastern Europeans than five years ago,Express,Brexit,Other
1-4-2015,"Facebook 'breaks EU laws' by tracking ALL users – even those WITHOUT accounts, says report",Express,Brexit,Other
1-4-2015,MARKET REPORT: Shares fall in British American and Imperial Tobacco,Express,Brexit,Other
1-4-2015,Ed Miliband would be a disaster for British business argues Ross Clark,Express,Brexit,Other
2-4-2015,Czechs claim British women are ‘ugly’ – even Miss Great Britain Shelby Tribble,Express,Brexit,Other
2-4-2015,'Feeling free' Great British Bake Off favourite Ruby Tandoh comes out as gay on Twitter,Express,Brexit,Other
2-4-2015,Fashion retailer Asos to launch EU website following profit warning,Express,Brexit,Other
2-4-2015,Great British Bake Off star Mary Berry to open Blenheim Palace Flower Show,Express,Brexit,Other
3-4-2015,Nigel Farage says Ukip are ONLY reason EU referendum is on the cards during leaders' clash,Express,Brexit,Other
3-4-2015,Now the EU wants to raise Britain's foreign aid spending by £1 BILLION amid defence fears,Express,Brexit,Other
3-4-2015,Giant SUPER wind turbines DOUBLE the height of Big Ben to blight British countryside ,Express,Brexit,Other
3-4-2015,British student accused of being a 'spy' and plotting revolution against Vladimir Putin,Express,Brexit,Other
3-4-2015,South African rebels set British war memorial ablaze ,Express,Brexit,Other
3-4-2015,'I remember crying' Miss GB fights back against Czechs who called British women & her UGLY,Express,Brexit,Other
5-4-2015,Half of British public now think Camilla should become Queen,Express,Brexit,Other
5-4-2015,Nigel Farage says Ukip success is key to ensuring Tories follow through with EU referendum,Express,Brexit,Other
5-4-2015,EXCLUSIVE: British horses being shipped across Europe and sold for meat,Express,Brexit,Other
5-4-2015,Portrait of the Pope by female British artist to hang alongside masterpieces in Vatican,Express,Brexit,Other
5-4-2015,British Business Bank is seeking new SME investors ,Express,Brexit,Other
6-4-2015,British clubs suffer shoot-out heartache in European hockey championships,Express,Brexit,Other
6-4-2015,Shane Byrne hits back to deny James Ellison British Superbike Championship double,Express,Brexit,Other
7-4-2015,Police probe as British mosque is destroyed on quiet residential road,Express,Brexit,Other
7-4-2015,Tony Blair 'does NOT trust' the British public slams David Cameron amid EU referendum fury,Express,Brexit,Other
7-4-2015,"If you're British your ID has ALREADY been STOLEN, warns Catch Me If You Can conman",Express,Brexit,Other
7-4-2015,Stars of Big Fat Gypsy Grand National brand British public 'immoral TRAMPS' ,Express,Brexit,Other
7-4-2015,Carry On Kelly: British beauty Brook caught in unfortunate position for One Big Happy,Express,Brexit,Other
7-4-2015,EXCLUSIVE: British taxpayers spend millions on foreign births,Express,Brexit,Other
7-4-2015,British expat arrested after 'secret' daughter falls to death from Hong Kong apartment,Express,Brexit,Other
8-4-2015,Shell buys British gas company BG Group in mammoth £47BILLION deal,Express,Brexit,Other
8-4-2015,Schoolgirl sums up British public's feelings toward the Election… as she slumps on desk,Express,Brexit,Other
8-4-2015,"Tony Blair gets it wrong again on EU membership, blasts STEPHEN POLLARD",Express,Brexit,Other
8-4-2015,British troops fired astonishing 46 MILLION bullets at Taliban fighters ,Express,Brexit,Other
8-4-2015,British employers LESS likely to hire obese workers – leaving them at risk to legal action,Express,Brexit,Other
9-4-2015,Poll reveals EU is a bigger issue for Scots than independence,Express,Brexit,Other
10-4-2015,Flames shoot into the air as firefighters tackle 'huge' British recycling centre blaze,Express,Brexit,Other
10-4-2015,British Muslims blame POLICE and MI5 for radicalising teens who want to join Islamic State,Express,Brexit,Other
10-4-2015,Labour election chief says leaving EU is 'crazy' and we need to stay for PEACE,Express,Brexit,Other
10-4-2015,HUNTED by the FBI: British car dealer is on Most Wanted list,Express,Brexit,Other
10-4-2015,BODY of missing British expat is found in village well: French neighbour arrested,Express,Brexit,Other
10-4-2015,Justin Rose leads the British challenge at the Masters thanks to his express read trick,Express,Brexit,Other
