date1,date,newspaper,headline_classification,stories,polarityheadline,subjectivityheadline,total_stories
01mar2015,"1-3-2015","Daily Mail","Climate",1,.175,.275,4
01mar2015,"1-3-2015","Daily Mail","Other",3,-.18981481,.25092593,4
01mar2015,"1-3-2015","Express","Other",2,0,0,2
01mar2015,"1-3-2015","The Independent","Climate",2,-.03181818,.4,5
01mar2015,"1-3-2015","The Independent","Other",3,.16212121,.42929293,5
01mar2015,"1-3-2015","The Times","Brexit Other",1,-.15,.5,11
01mar2015,"1-3-2015","The Times","Climate",4,-.05,.175,11
01mar2015,"1-3-2015","The Times","Other",6,-.02361111,.11388889,11
02mar2015,"2-3-2015","Daily Mail","Brexit Immigration",1,-.06666667,.36666667,10
02mar2015,"2-3-2015","Daily Mail","Brexit Other",1,-.0625,.1875,10
02mar2015,"2-3-2015","Daily Mail","Climate",1,.25,.65,10
02mar2015,"2-3-2015","Daily Mail","Climate,Brexit",1,0,0,10
02mar2015,"2-3-2015","Daily Mail","Other",6,-.16527778,.24444444,10
02mar2015,"2-3-2015","Evening Standard","Other",3,.42,.47666667,3
02mar2015,"2-3-2015","Express","Brexit Other",2,.25,.25,8
02mar2015,"2-3-2015","Express","Climate",2,-.25,.4375,8
02mar2015,"2-3-2015","Express","Climate,Brexit",1,.2,.35,8
02mar2015,"2-3-2015","Express","Other",3,.28333333,.49583333,8
02mar2015,"2-3-2015","The Independent","Climate",1,.16666667,.54166667,1
02mar2015,"2-3-2015","The Times","Brexit Other",1,0,0,14
02mar2015,"2-3-2015","The Times","Climate",5,0,.3,14
02mar2015,"2-3-2015","The Times","Other",8,-.046875,.15,14
03mar2015,"3-3-2015","Daily Mail","Climate",2,-.42424242,.83030303,8
03mar2015,"3-3-2015","Daily Mail","Other",6,-.03655303,.37310606,8
03mar2015,"3-3-2015","Express","Brexit Immigration",1,0,0,3
03mar2015,"3-3-2015","Express","Climate",1,-.125,.375,3
03mar2015,"3-3-2015","Express","Other",1,-.8,.9,3
03mar2015,"3-3-2015","The Guardian","Other",1,.8,.9,1
03mar2015,"3-3-2015","The Independent","Brexit Other",1,0,0,7
03mar2015,"3-3-2015","The Independent","Climate",1,0,0,7
03mar2015,"3-3-2015","The Independent","Other",5,-.18833333,.26666667,7
03mar2015,"3-3-2015","The Times","Climate",2,0,0,14
03mar2015,"3-3-2015","The Times","Other",12,-.01076389,.25243056,14
04mar2015,"4-3-2015","Daily Mail","Climate",4,.0125,.15,10
04mar2015,"4-3-2015","Daily Mail","Other",6,.18333333,.43194444,10
