date1,date,headline_classification,stories,total_stories
01mar2015,"1-3-2015","Brexit Other",1,22
01mar2015,"1-3-2015","Climate",7,22
01mar2015,"1-3-2015","Other",14,22
02mar2015,"2-3-2015","Brexit Immigration",1,36
02mar2015,"2-3-2015","Brexit Other",4,36
02mar2015,"2-3-2015","Climate",9,36
02mar2015,"2-3-2015","Climate,Brexit",2,36
02mar2015,"2-3-2015","Other",20,36
03mar2015,"3-3-2015","Brexit Immigration",1,33
03mar2015,"3-3-2015","Brexit Other",1,33
03mar2015,"3-3-2015","Climate",6,33
03mar2015,"3-3-2015","Other",25,33
04mar2015,"4-3-2015","",1,42
04mar2015,"4-3-2015","Brexit Business",1,42
04mar2015,"4-3-2015","Climate",7,42
04mar2015,"4-3-2015","Other",33,42
05mar2015,"5-3-2015","Brexit Immigration",1,31
05mar2015,"5-3-2015","Brexit Other",1,31
05mar2015,"5-3-2015","Climate",5,31
05mar2015,"5-3-2015","Other",24,31
06mar2015,"6-3-2015","Brexit Business,Brexit Immigration",1,37
06mar2015,"6-3-2015","Brexit Other",3,37
06mar2015,"6-3-2015","Brexit Politics",1,37
06mar2015,"6-3-2015","Climate",3,37
06mar2015,"6-3-2015","Other",29,37
07mar2015,"7-3-2015","Brexit Other",2,26
07mar2015,"7-3-2015","Brexit Politics",1,26
07mar2015,"7-3-2015","Climate",6,26
07mar2015,"7-3-2015","Climate,Brexit",1,26
07mar2015,"7-3-2015","Other",16,26
08mar2015,"8-3-2015","Brexit Other",2,34
08mar2015,"8-3-2015","Brexit Politics",1,34
08mar2015,"8-3-2015","Climate",10,34
08mar2015,"8-3-2015","Other",21,34
09mar2015,"9-3-2015","Brexit Other",3,31
09mar2015,"9-3-2015","Climate",4,31
09mar2015,"9-3-2015","Climate,Brexit",1,31
09mar2015,"9-3-2015","Other",23,31
10mar2015,"10-3-2015","Brexit Business",1,20
10mar2015,"10-3-2015","Brexit Other",2,20
10mar2015,"10-3-2015","Brexit Politics",1,20
10mar2015,"10-3-2015","Climate",1,20
10mar2015,"10-3-2015","Other",15,20
11mar2015,"11-3-2015","Brexit Business",1,29
11mar2015,"11-3-2015","Brexit Immigration",1,29
11mar2015,"11-3-2015","Brexit Other",5,29
11mar2015,"11-3-2015","Brexit Politics",2,29
11mar2015,"11-3-2015","Brexit Politics,Brexit Immigration",1,29
11mar2015,"11-3-2015","Climate",8,29
11mar2015,"11-3-2015","Other",11,29
12mar2015,"12-3-2015","Brexit Business,Brexit Politics",1,30
12mar2015,"12-3-2015","Brexit Other",1,30
12mar2015,"12-3-2015","Brexit Politics",2,30
12mar2015,"12-3-2015","Climate",6,30
12mar2015,"12-3-2015","Other",20,30
13mar2015,"13-3-2015","Brexit Business",1,20
13mar2015,"13-3-2015","Brexit Other",1,20
13mar2015,"13-3-2015","Brexit Politics",2,20
13mar2015,"13-3-2015","Climate",3,20
13mar2015,"13-3-2015","Other",13,20
14mar2015,"14-3-2015","Brexit Immigration",1,23
14mar2015,"14-3-2015","Brexit Politics",1,23
14mar2015,"14-3-2015","Climate",2,23
14mar2015,"14-3-2015","Other",19,23
15mar2015,"15-3-2015","Brexit Business",2,21
