date1,date,newspaper,text_classification,stories,polaritytext,subjectivitytext,total_stories
01mar2015,"1-3-2015","Daily Mail","Brexit Politics",1,-.10416667,.10416667,4
01mar2015,"1-3-2015","Daily Mail","Climate",3,.08625316,.55006313,4
01mar2015,"1-3-2015","Express","Climate",1,.0625,.30520833,2
01mar2015,"1-3-2015","Express","Other",1,-.02761995,.36152146,2
01mar2015,"1-3-2015","The Independent","Climate",5,-.01020817,.37600671,5
01mar2015,"1-3-2015","The Times","Climate",7,.06521991,.4047939,11
01mar2015,"1-3-2015","The Times","Climate,Brexit",1,.12666667,.17333333,11
01mar2015,"1-3-2015","The Times","Other",3,.08516274,.5115376,11
02mar2015,"2-3-2015","Daily Mail","Brexit Business",2,.01477273,.32234848,10
02mar2015,"2-3-2015","Daily Mail","Brexit Immigration",1,-.11111111,.25925926,10
02mar2015,"2-3-2015","Daily Mail","Climate",5,.03956037,.26526251,10
02mar2015,"2-3-2015","Daily Mail","Climate,Brexit",2,-.09306818,.27318182,10
02mar2015,"2-3-2015","Evening Standard","Brexit Politics",1,.11444444,.38,3
02mar2015,"2-3-2015","Evening Standard","Climate",2,.27323619,.51344742,3
02mar2015,"2-3-2015","Express","Brexit Politics",1,.13727273,.21090909,8
02mar2015,"2-3-2015","Express","Climate",7,.16470865,.44627345,8
02mar2015,"2-3-2015","The Independent","Climate",1,.0235119,.4047619,1
02mar2015,"2-3-2015","The Times","Brexit Business",1,.08461538,.1775641,14
02mar2015,"2-3-2015","The Times","Climate",11,.07325689,.38049165,14
02mar2015,"2-3-2015","The Times","Climate,Brexit",1,.04448052,.15064935,14
02mar2015,"2-3-2015","The Times","Other",1,.09583333,.48333333,14
03mar2015,"3-3-2015","Daily Mail","Brexit Immigration",1,-.17622378,.37249417,8
03mar2015,"3-3-2015","Daily Mail","Climate",4,.03037608,.48621392,8
03mar2015,"3-3-2015","Daily Mail","Climate,Brexit",1,.15076923,.49794872,8
03mar2015,"3-3-2015","Daily Mail","Other",2,.13571429,.51142857,8
03mar2015,"3-3-2015","Express","Climate",1,.025,.625,3
