date1,date,text_classification,stories,total_stories
01mar2015,"1-3-2015","Brexit Politics",1,22
01mar2015,"1-3-2015","Climate",16,22
01mar2015,"1-3-2015","Climate,Brexit",1,22
01mar2015,"1-3-2015","Other",4,22
02mar2015,"2-3-2015","Brexit Business",3,36
02mar2015,"2-3-2015","Brexit Immigration",1,36
02mar2015,"2-3-2015","Brexit Politics",2,36
02mar2015,"2-3-2015","Climate",26,36
02mar2015,"2-3-2015","Climate,Brexit",3,36
02mar2015,"2-3-2015","Other",1,36
03mar2015,"3-3-2015","Brexit Business",3,33
03mar2015,"3-3-2015","Brexit Immigration",1,33
03mar2015,"3-3-2015","Climate",19,33
03mar2015,"3-3-2015","Climate,Brexit",6,33
03mar2015,"3-3-2015","Other",4,33
04mar2015,"4-3-2015","",1,42
04mar2015,"4-3-2015","Brexit Business",2,42
04mar2015,"4-3-2015","Brexit Business,Brexit Politics",1,42
04mar2015,"4-3-2015","Brexit Politics",2,42
04mar2015,"4-3-2015","Climate",26,42
04mar2015,"4-3-2015","Climate,Brexit",5,42
04mar2015,"4-3-2015","Other",5,42
05mar2015,"5-3-2015","Brexit Other",1,31
05mar2015,"5-3-2015","Brexit Politics",1,31
05mar2015,"5-3-2015","Brexit Politics,Brexit Immigration",1,31
05mar2015,"5-3-2015","Climate",21,31
05mar2015,"5-3-2015","Climate,Brexit",5,31
05mar2015,"5-3-2015","Other",2,31
06mar2015,"6-3-2015","Brexit Business",2,37
06mar2015,"6-3-2015","Brexit Politics",3,37
06mar2015,"6-3-2015","Climate",20,37
06mar2015,"6-3-2015","Climate,Brexit",4,37
06mar2015,"6-3-2015","Other",8,37
07mar2015,"7-3-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,26
07mar2015,"7-3-2015","Brexit Politics",1,26
07mar2015,"7-3-2015","Climate",17,26
07mar2015,"7-3-2015","Climate,Brexit",3,26
07mar2015,"7-3-2015","Other",4,26
08mar2015,"8-3-2015","Brexit Other",1,34
08mar2015,"8-3-2015","Brexit Politics",1,34
08mar2015,"8-3-2015","Climate",30,34
08mar2015,"8-3-2015","Climate,Brexit",1,34
08mar2015,"8-3-2015","Other",1,34
09mar2015,"9-3-2015","Brexit Business",1,31
09mar2015,"9-3-2015","Brexit Other",1,31
09mar2015,"9-3-2015","Climate",18,31
09mar2015,"9-3-2015","Climate,Brexit",5,31
09mar2015,"9-3-2015","Other",6,31
10mar2015,"10-3-2015","Brexit Politics",5,20
10mar2015,"10-3-2015","Climate",10,20
10mar2015,"10-3-2015","Climate,Brexit",1,20
10mar2015,"10-3-2015","Other",4,20
11mar2015,"11-3-2015","Brexit Business",2,29
11mar2015,"11-3-2015","Brexit Business,Brexit Politics",1,29
11mar2015,"11-3-2015","Brexit Other",2,29
11mar2015,"11-3-2015","Brexit Politics",3,29
11mar2015,"11-3-2015","Climate",12,29
11mar2015,"11-3-2015","Climate,Brexit",7,29
11mar2015,"11-3-2015","Other",2,29
12mar2015,"12-3-2015","Brexit Business",1,30
12mar2015,"12-3-2015","Brexit Business,Brexit Politics",1,30
12mar2015,"12-3-2015","Brexit Politics",4,30
12mar2015,"12-3-2015","Climate",18,30
12mar2015,"12-3-2015","Climate,Brexit",3,30
12mar2015,"12-3-2015","Other",3,30
13mar2015,"13-3-2015","Brexit Business",1,20
13mar2015,"13-3-2015","Brexit Other",1,20
13mar2015,"13-3-2015","Brexit Politics",2,20
13mar2015,"13-3-2015","Climate",10,20
13mar2015,"13-3-2015","Climate,Brexit",4,20
13mar2015,"13-3-2015","Other",2,20
14mar2015,"14-3-2015","Brexit Politics",1,23
14mar2015,"14-3-2015","Climate",21,23
14mar2015,"14-3-2015","Other",1,23
15mar2015,"15-3-2015","Brexit Politics",1,21
15mar2015,"15-3-2015","Climate",14,21
15mar2015,"15-3-2015","Climate,Brexit",1,21
15mar2015,"15-3-2015","Other",5,21
16mar2015,"16-3-2015","Brexit Other",3,36
16mar2015,"16-3-2015","Brexit Politics",2,36
16mar2015,"16-3-2015","Climate",21,36
16mar2015,"16-3-2015","Climate,Brexit",4,36
16mar2015,"16-3-2015","Other",6,36
17mar2015,"17-3-2015","Brexit Business",1,27
17mar2015,"17-3-2015","Brexit Politics",1,27
17mar2015,"17-3-2015","Climate",19,27
17mar2015,"17-3-2015","Climate,Brexit",2,27
17mar2015,"17-3-2015","Other",4,27
18mar2015,"18-3-2015","Brexit Politics",3,29
18mar2015,"18-3-2015","Brexit Politics,Brexit Immigration",1,29
18mar2015,"18-3-2015","Climate",19,29
18mar2015,"18-3-2015","Climate,Brexit",3,29
18mar2015,"18-3-2015","Other",3,29
19mar2015,"19-3-2015","Brexit Business",1,34
19mar2015,"19-3-2015","Brexit Immigration",1,34
19mar2015,"19-3-2015","Brexit Politics",2,34
19mar2015,"19-3-2015","Climate",25,34
19mar2015,"19-3-2015","Climate,Brexit",3,34
19mar2015,"19-3-2015","Other",2,34
20mar2015,"20-3-2015","Brexit Business,Brexit Politics",1,38
20mar2015,"20-3-2015","Brexit Other",1,38
20mar2015,"20-3-2015","Brexit Politics",1,38
20mar2015,"20-3-2015","Climate",27,38
20mar2015,"20-3-2015","Climate,Brexit",7,38
20mar2015,"20-3-2015","Other",1,38
21mar2015,"21-3-2015","Brexit Politics",2,18
21mar2015,"21-3-2015","Brexit Politics,Brexit Immigration",1,18
21mar2015,"21-3-2015","Climate",11,18
21mar2015,"21-3-2015","Climate,Brexit",2,18
21mar2015,"21-3-2015","Other",2,18
22mar2015,"22-3-2015","Brexit Immigration",1,32
22mar2015,"22-3-2015","Brexit Other",1,32
22mar2015,"22-3-2015","Brexit Politics",1,32
22mar2015,"22-3-2015","Climate",23,32
22mar2015,"22-3-2015","Climate,Brexit",4,32
22mar2015,"22-3-2015","Other",2,32
23mar2015,"23-3-2015","Brexit Business",2,31
23mar2015,"23-3-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,31
23mar2015,"23-3-2015","Brexit Politics",1,31
23mar2015,"23-3-2015","Climate",18,31
23mar2015,"23-3-2015","Climate,Brexit",6,31
23mar2015,"23-3-2015","Other",3,31
24mar2015,"24-3-2015","Brexit Business,Brexit Politics",1,23
24mar2015,"24-3-2015","Brexit Politics",1,23
24mar2015,"24-3-2015","Climate",14,23
24mar2015,"24-3-2015","Climate,Brexit",3,23
24mar2015,"24-3-2015","Other",4,23
25mar2015,"25-3-2015","Brexit Business",2,33
25mar2015,"25-3-2015","Brexit Business,Brexit Politics",1,33
25mar2015,"25-3-2015","Brexit Other",1,33
25mar2015,"25-3-2015","Brexit Politics",1,33
25mar2015,"25-3-2015","Climate",25,33
25mar2015,"25-3-2015","Climate,Brexit",3,33
26mar2015,"26-3-2015","Brexit Business",2,19
26mar2015,"26-3-2015","Brexit Business,Brexit Politics",2,19
26mar2015,"26-3-2015","Climate",12,19
26mar2015,"26-3-2015","Climate,Brexit",1,19
26mar2015,"26-3-2015","Other",2,19
27mar2015,"27-3-2015","",1,25
27mar2015,"27-3-2015","Brexit Politics",2,25
27mar2015,"27-3-2015","Climate",18,25
27mar2015,"27-3-2015","Climate,Brexit",2,25
27mar2015,"27-3-2015","Other",2,25
28mar2015,"28-3-2015","Brexit Business,Brexit Politics",1,21
28mar2015,"28-3-2015","Brexit Other",1,21
28mar2015,"28-3-2015","Climate",16,21
28mar2015,"28-3-2015","Climate,Brexit",2,21
28mar2015,"28-3-2015","Other",1,21
29mar2015,"29-3-2015","Brexit Business,Brexit Politics",1,35
29mar2015,"29-3-2015","Brexit Politics",3,35
29mar2015,"29-3-2015","Climate",23,35
29mar2015,"29-3-2015","Climate,Brexit",4,35
29mar2015,"29-3-2015","Other",4,35
30mar2015,"30-3-2015","Brexit Business,Brexit Politics",1,33
30mar2015,"30-3-2015","Brexit Immigration",1,33
30mar2015,"30-3-2015","Brexit Politics",4,33
30mar2015,"30-3-2015","Climate",21,33
30mar2015,"30-3-2015","Climate,Brexit",4,33
30mar2015,"30-3-2015","Other",2,33
31mar2015,"31-3-2015","Brexit Business",2,32
31mar2015,"31-3-2015","Brexit Politics",3,32
31mar2015,"31-3-2015","Climate",23,32
31mar2015,"31-3-2015","Climate,Brexit",2,32
31mar2015,"31-3-2015","Other",2,32
01apr2015,"1-4-2015","Brexit Business",3,23
01apr2015,"1-4-2015","Brexit Business,Brexit Politics",2,23
01apr2015,"1-4-2015","Brexit Other",1,23
01apr2015,"1-4-2015","Climate",14,23
01apr2015,"1-4-2015","Climate,Brexit",2,23
01apr2015,"1-4-2015","Other",1,23
02apr2015,"2-4-2015","Brexit Business",1,37
02apr2015,"2-4-2015","Brexit Politics",2,37
02apr2015,"2-4-2015","Climate",26,37
02apr2015,"2-4-2015","Climate,Brexit",1,37
02apr2015,"2-4-2015","Other",7,37
03apr2015,"3-4-2015","Brexit Business",3,38
